StudentID,Last,First,Middle,Street,City,State,Zip,Country,Cellphone,Email,StudioID,Age,ClassID
1,Amigon,Minna,G,2371 Jerrold Ave,River Ridge,LA,70123,USA,(504) 874-1229,minna_amigon@yahoo.com,1,4,1
2,Maclead,Alice,G,37275 St  Rt 17m M,Harahan,LA,70123,USA,(504) 335-3414,amaclead@gmail.com,1,5,1
3,Caldarera,Kirsten,L,25 E 75th St #69,River Ridge,LA,70123,USA,(504) 498-5651,kirsten.caldarera@aol.com,1,6,1
4,Ruta,Gracie,F,98 Connecticut Ave Nw,River Ridge,LA,70123,USA,(504) 780-8425,gruta@cox.net,1,4,1
6,Poquette,Maddie,S,73 State Road 434 E,Harahan,LA,70123,USA,(504) 277-4385,maddie@aol.com,1,5,1
7,Garufi,Megan,F,69734 E Carrillo St,Harahan,LA,70123,USA,(504) 313-9635,megan@hotmail.com,1,6,1
8,Rim,Julia,H,322 New Horizon Blvd,River Ridge,LA,70123,USA,(504) 661-9598,julia.rim@rim.org,1,5,1
9,Whobrey,Alex,F,1 State Route 27,River Ridge,LA,70123,USA,(504) 288-7937,alex_whobrey@aol.com,1,5,1
10,Flosi,Emma,Y,394 Manchester Blvd,River Ridge,LA,70123,USA,(504) 828-2147,emma.flosi@yahoo.com,1,6,1
11,Nicka,Bette,I,6 S 33rd St,Harahan,LA,70123,USA,(504) 545-3615,bette_nicka@cox.net,1,4,1
12,Inouye,Veronica,F,6 Greenleaf Ave,Harahan,LA,70123,USA,(504) 540-1785,vinouye@aol.com,1,4,1
13,Willard,Olivia,L,618 W Yakima Ave,River Ridge,LA,70123,USA,(504) 303-9197,willard@hotmail.com,1,7,2
15,Alisha,Isabella,W,3273 State St,Harahan,LA,70123,USA,(504) 658-3154,alisha@Isabella.com,1,7,2
16,Allene,Sophia,S,1 Central Ave,Harahan,LA,70123,USA,(504) 662-6764,allene_sophia@cox.net,1,9,2
17,Chanel,Caudy,p,86 Nw 66th St #8673,Harahan,LA,70123,USA,(504) 388-2079,chanel.caudy@caudy.org,1,10,2
18,Ezekiel,Chui,H,2 Cedar Ave #84,River Ridge,LA,70123,USA,(504) 669-1642,ezekiel@chui.com,1,11,2
19,Willow,Mia,P,90991 Thorburn Ave,River Ridge,LA,70123,USA,(504) 582-4976,wmia@yahoo.com,1,11,2
20,Bernardo,Charlotte,Y,386 9th Ave N,Kenner,LA,70065,USA,(504) 336-3951,bcharlotte@aol.com,1,9,2
21,Ammie,Corrio,I,74874 Atlantic Ave,Harahan,LA,70123,USA,(504) 801-9788,ammie@corrio.com,1,8,2
23,Ernie,Amelia,I,45 E Liberty St,Harahan,LA,70123,USA,(504) 709-6245,ernie_amelia@aol.com,1,13,3
24,Albina,Evelyn,S,4 Ralph Ct,Harahan,LA,70123,USA,(504) 924-7882,albina@evelyn.com,1,16,3
25,Alishia,Abigail,L,2742 Distribution Way,Harahan,LA,70123,USA,(504) 860-1579,aabigail@gmail.com,1,18,3
26,Solange,Emily,H,426 Wolf St,River Ridge,LA,70123,USA,(504) 979-9175,solange@emily.com,1,19,3
27,Jose,Elizabeth,M,128 Bransten Rd,River Ridge,LA,70123,USA,(504) 675-8570,jose@yahoo.com,1,21,3
28,Rozella,Avery,Y,17 Morena Blvd,Kenner,LA,70065,USA,(504) 832-6163,rozella.avery@avery.com,1,22,3
29,Valentine,Gillian,I,775 W 17th St,Harahan,LA,70123,USA,(504) 812-9597,valentine_gillian@gmail.com,1,18,3
30,Kati,Sofia,M,6980 Dorsett Rd,Harahan,LA,70123,USA,(504) 463-7829,kati.sofia@hotmail.com,1,30,3
31,Amigon,Minna,G,2371 Jerrold Ave,River Ridge,LA,70123,USA,(504) 874-1229,minna_amigon@yahoo.com,1,4,4
32,Maclead,Alice,G,37275 St  Rt 17m M,Harahan,LA,70123,USA,(504) 335-3414,amaclead@gmail.com,1,5,4
33,Schemmer,Youlanda,L,2881 Lewis Rd,River Ridge,LA,70123,USA,(504) 548-8197,youlanda@aol.com,1,6,4
34,Oldroyd,Madison,F,7219 Woodfield Rd,River Ridge,LA,70123,USA,(504) 413-4604,doldroyd@aol.com,1,4,4
35,Campain,Roxane,W,1048 Main St,Harahan,LA,70123,USA,(504) 231-4722,roxane@hotmail.com,1,4,4
36,Perin,Lavera,H,678 3rd Ave,River Ridge,LA,70123,USA,(504) 606-7291,lperin@perin.org,1,5,4
37,Ferencz,Scarlett,F,20 S Babcock St,River Ridge,LA,70123,USA,(504) 741-1044,Scarlett.ferencz@aol.com,1,5,4
39,Briddick,Jina,I,38938 Park Blvd,Harahan,LA,70123,USA,(504) 399-5124,jina_briddick@briddick.com,1,4,4
40,Waycott,Kristina,F,5 Tomahawk Dr,Harahan,LA,70123,USA,(504) 453-2780,kristina_waycott@yahoo.com,1,4,4
41,Willard,Olivia,L,618 W Yakima Ave,River Ridge,LA,70123,USA,(504) 303-9197,willard@hotmail.com,1,7,5
42,Allene,Sophia,S,1 Central Ave,Harahan,LA,70123,USA,(504) 662-6764,allene_sophia@cox.net,1,9,5
43,Bowley,Emerson,p,762 S Main St,Harahan,LA,70123,USA,(504) 336-7444,emerson.bowley@bowley.org,1,11,5
44,Malet,Grace,H,209 Decker Dr,River Ridge,LA,70123,USA,(504) 907-9111,bmalet@yahoo.com,1,11,5
45,Bolognia,Brocke,P,4486 W O St #1,River Ridge,LA,70123,USA,(504) 402-9216,bbolognia@yahoo.com,1,11,5
46,Nestle,Lorrie,Y,39 S 7th St,Kenner,LA,70065,USA,(504) 875-6644,lnestle@hotmail.com,1,9,5
47,Uyetake,Sabra,I,98839 Hawthorne Blvd #6101,Harahan,LA,70123,USA,(504) 925-5213,sabra@uyetake.org,1,8,5
48,Mastella,Marjory,W,71 San Mateo Ave,Harahan,LA,70123,USA,(504) 814-5533,mmastella@mastella.com,1,9,5
